"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2021","3,677.70","4,630.52","4,778.00","3,561.06","12.91M","-20.59%"
"11/01/2021","4,631.22","4,288.93","4,864.13","3,916.62","12.40M","8.01%"
"10/01/2021","4,287.60","2,998.46","4,459.04","2,972.91","14.35M","42.93%"
"09/01/2021","2,999.86","3,424.29","4,025.06","2,662.50","17.19M","-12.53%"
"08/01/2021","3,429.45","2,530.94","3,468.60","2,445.49","5.87M","35.61%"
"07/01/2021","2,528.85","2,274.99","2,552.09","1,719.48","1.41M","11.16%"
"06/01/2021","2,274.99","2,706.16","2,829.02","1,765.13","2.75M","-15.93%"
"05/01/2021","2,706.12","2,772.18","4,352.11","2,014.34","8.52M","-2.37%"
"04/01/2021","2,771.94","1,920.69","2,771.94","1,909.88","3.06M","44.50%"
"03/01/2021","1,918.24","1,418.28","1,918.24","1,418.28","918.43K","35.26%"